sku,MYOB-code,MYOB-Item Name,Units On Hand,Total Value,Average Cost,Current Price
HDMI-VGA-AD-ADP,AC-9319866078162,ALOGIC HDMI-VGA-AD-ADP 15CM MF,11,232.59,21.14,99
KP02UVA,AC-9319866399113,SERVEREDGE KP02UVA 2P USB KVM,8,183.44,22.93,19
DP-HDMI-ACTV,AC-9319866689887,ALOGIC 15CM DP-HDMI-ACTV M-F,2,53,26.5,5
MDP-HDMI-ACTV,AC-9319866972835,"ALOGIC 15CM MDP-HDMI-ACTV,M-F",2,53,26.5,399
CB-1P-50,AC-9319868459129,SERVEREDG M6 CAGE NUT CB-1P-50,0,0,0,5
HDMI-DP-ACTV-ADP,AC-9319869170658,ALOGIC HDMI-DP-ACTV-ADP,0,0,0,399
HDMI-SPL-02,AC-9319869725360,ALOGIC 2 WAY HDMI-SPL-02,3,89.25,29.75,19
USB2SIC,AC-9319898654655,USB2SIC USB2.0 TO IDE+SATA,4,103.8,25.95,29
PAD-014SP,AC-9324747002617,PAD-014SP 4WAYS SURGE PROTECT,41,182.45,4.45,5
PAD-016SP,AC-9324747002624,PAD-016SP 6WAYS SURGE PROTECT,41,236.98,5.78,19
PAD-054SW,AC-9324747003836,PAD-054SW 4 OUTLETS SWITCH,12,71.76,5.98,15
PAD-056SW,AC-9324747003843,PAD-056SW 6 OUTLETS SWITCH,12,95.16,7.93,15
PAD-131P,AC-9324747004833,PAD-131P 4 OUTLETS POWERBOARD,0,0,0,5
PAD-137P,AC-9324747004840,PAD-137P 6 OUTLETS POWERBOARD,36,124.56,3.46,15
PAD-421SW,AC-9324747004895,PAD-421SW 4 OUTLET SWITCH,12,87.24,7.27,5
PAD-661SW,AC-9324747004901,PAD-661SW 6 OUTLET SWITCH,11,98.56,8.96,5
PAD-422TL,AC-9324747004918,PAD-422TL 4 OUTLET W/SURGE+LIN,6,53.58,8.93,19
PAD-102USB,AC-9324747006363,SURGE 2xUSB OUTLETS PAD-102USB,15,86.85,5.79,5
02SH23SDOCKE,AC-9328157002977,SHINTARO 02SH23SDOCKE,0,0,0,19
02SH-PHD,AC-9328157003097,SHINTARO 02SH-PHD HDD DUPLICAT,1,69,69,19
02SH2-SATAB,AC-9328157003103,SHINTARO 02SH2-SATABE,0,0,0,25
02SH3-SATA3B,AC-9328157003370,"SHINTARO 3.5"" 02SH3-SATA3B HDD",0,0,0,399
09SH-XCRUSB3,AC-9328157003790,SHINTARO 09SH-XCRUSB3 CARD REA,0,0,0,5
14SH353X,AC-9328157004070,SHINTARO 14SH353X 3.5MM SPLITT,0,0,0,5
SHCUSB,AC-9328157004087,SHINTARO SHCUSB CAR USB ADAPTE,2,9,4.5,19
SHBT4,AC-9328157004179,SHINTARO SHBT4 BLUETOOTH ADAPT,6,67.5,11.25,5
15SHDHD3,AC-9328157004216,SHINTARO BLAZER 15SHDHD3 DOCK,1,79,79,15
28SHUSB3PCIE3V2,AC-9328157004247,SHINTARO 28SHUSB3PCIE3V2 CARD,1,25,25,19
HDTB110AK3BA,AC-9334427028998,TOSHIBA HDTB110AK3BA,0,0,0,0
BT-LCD201,AC-9341756000199,BRATECK BT-LCD201,7,43.38,6.2,9
BT-LCD201C,AC-9341756000205,BT-LCD201C LCD VESA BRACKET,4,24.13,6.03,5
BT-LCD201S,AC-9341756000212,BRATECK BT-LCD201S,18,247.32,13.74,25
BT-LCDM03,AC-9341756000250,BRATECK BT-LCDM03 WALL MOUNT42,0,0,0,5
BT-LCDT6-BK,AC-9341756000274,BRATECK BT-LCDT6-BK,2,76.8,38.4,59
BT-PLB3D,AC-9341756000304,BRATECK BT-PLB3D,0,0,0,109
BT-PRB2W,AC-9341756000328,BRATECK BT-PRB2W,0,0,0,29
BT-PSBC100,AC-9341756000335,BRATECK BT-PSBC100 P-SCR 2*1.5,0,0,0,19
BT-LCDT9,AC-9341756000427,BRATECK BT-LCDT9 DUAL STAND,5,305,61,89
BT-LCDCM,AC-9341756005415,BT-LCDCM UNDER CABINET MOUNT,3,40.32,13.44,5
BT-LED-01L,AC-9341756005873,BT-LED-01L ULTRA SLIM MOUNT,0,0,0,5
BT-LDT02-C01,AC-9341756005897,BT-LDT02-C01 ELEGANT LCD STAND,1,29,29,19
BT-LDT02-C02V,AC-9341756005903,BRATEC LCD STAND BT-LDT02-C02V,0,0,0,5
BT-LDT02-T01,AC-9341756006443,BRATECK BT-LDT02-T01 LCD STAND,0,0,0,5
BT-LDT02-T04,AC-9341756006481,BT-LDT02-T04 4 LCD STAND,2,190,95,5
BT-LCD201L,AC-9341756007679,BT-LCD201L ULTRA-SLIM MOUNT,5,69.75,13.95,5
BT-PLB42,AC-9341756007686,BRATECK BT-PLB42 TV WALL MOUNT,4,72.2,18.05,15
BT-LCD142,AC-9341756009734,BRATECK BT-LCD142,0,0,0,19
T50,AC-BA-IBM-T60,BATT FOR LENOVO T60/T500,0,0,0,39
BT-PF-124,AC-BT-PF-124,BT-PF-124 LCD TV WALL MOUNT,0,0,0,19
BT-PRB1,AC-BT-PRB1,BRATECK BT-PRB1,1,16.5,16.5,5
BT-PSAC100,AC-BT-PSAC100,BRATECK BT-PSAC100,0,0,0,5
NH-C14,AC-NH-C14-SB,NOCTUA NH-C14 SUPPORT BAR,0,0,0,19
NH-D15,AC-NH-D15,NOCTUA NH-D15 CPU COOLER,1,86,86,5
SST-FP58B,AC-SST-FP58B,"SST-FP58B 5.25""-2.5"" CONVERTER",1,28.9,28.9,399
TL-WN951N,AC-TL-LPB-WN951N,TL-WN951N LOW PROFILE BRACKET,0,0,0,5
15EKF808S17,BAG-874933001874,"EVERKI 15EKF808S17 17"" COMMUTE",0,0,0,30
15EKB424,BAG-874933001997,"EVERKI 15EKB424 14-16"" AGILE",1,25,25,45
15EKF808S18,BAG-874933002024,"EVERKI 15EKF808S18 18.4"" COMMU",7,119,17,45
15EKP119,BAG-874933002055,"EVERKI 15EKP119 16"" CHECKPOINT",4,172,43,35
15EKS620,BAG-874933002079,"EVERKI 14.1"" 15EKS620 MESSENGE",3,146.66,48.89,1049
15EKF850,BAG-874933002109,"EVERKI 15EKF850 12.1""HARD CASE",1,18.5,18.5,19
15EKP129,BAG-874933002154,"EVERKI 15EKP129 17.3"" GLIDE BA",5,225,45,30
15EKB419,BAG-874933002161,"EVERKI 15EKB419 16"" FLIGHT",2,103,51.5,30
SST-PS08W,CA-4710007220214,SST-PS08W WHITE PRECISION TWR,0,0,0,55
SST-SG05BB-LITE,CA-4710007220337,SST-SG05BB-LITE BLK SUGO HTPC,0,0,0,170.94
SST-SG05W-LITE,CA-4710007220344,SST-SG05W-LITE WHITE SUGO CASE,0,0,0,55
SST-PS09B,CA-4710007220979,SST-PS09B BLK PRECISON CASE,0,0,0,55
SST-RVZ01B,CA-4710007221150,SST-RVZ01B RAVEN BLK MINI ITX,0,0,0,55
SST-ML07B,CA-4710007221556,SST-ML07B SLIM MINI-ITX BLK,0,0,0,55
SST-FT03B,CA-4710713967588,SST-FT03B BLK FORTRESS CASE,0,0,0,170.94
SST-LC16B-M-USB3,CA-4710713968769,SST-LC16B-M-USB3 BLK LASCALA,0,0,0,55
SST-GD04B-USB3,CA-4710713968783,SILVERSTON SST-GD04B-USB3 BLK,0,0,0,170.94
SST-FT03B-MINI,CA-4710713968851,SST-FT03B-MINI BLK CASE,0,0,0,55
BFC-PRO-300-RRXKR-RP,CA-4716779443240,BFC-PRO-300-RRXKR-RP RED ITX,1,69,69,55
BFC-OLW-100-WWNR-U3,CA-4716779443486,BFC-OLW-100-WWNR-U3 OULAW USB3,0,0,0,55
BFC-MRC-100-KKX1-U3,CA-4716779443509,BFC-MRC-100-KKX1-U3 MERC ALPHA,0,0,0,170.94
VN10006W2N,CA-4716872053124,TT VN10006W2N SNOW LVL10 CASE,0,0,0,170.94
VO100A1W2N,CA-4716872055128,TT VO100A1W2N COMMANDER MS-III,0,0,0,55
VM350B1W2A,CA-4716872055906,Thermaltake VM350B1W2A V4 500W,0,0,0,69
VO800M1W2N,CA-4716872057849,TT ARMOR REVO GENE VO800M1W2N,0,0,0,129
VO900M1N2N,CA-4716872057887,SOPRANO VO900M1N2N CASE,0,0,0,170.94
VO650B1W3A,CA-4716872058228,VERSA I WITH 500W VO650B1W3A,0,0,0,170.94
VO750B1W3A,CA-4716872058235,VERSAL II VO750B1W3A WITH 500W,1,70,70,129
VP300A1W2N,CA-4717964390219,TT VP300A1W2N A31 BLK CASE,1,81,81,599
VP300A6W2N,CA-4717964390714,TT VP300A6W2N WHITE CASE,0,0,0,170.94
VP300A5W2N,CA-4717964390738,TT VP300A5W2N A31 BLUE CASE,1,86.5,86.5,129
LL-PC-V600FB,CA-4718466003898,LIANLI LL-PC-V600FB BLK TOWER,0,0,0,170.94
sp100e,CA-4961311875595,LANIER SP100E LASER B&W CASE,0,0,0,149
CSNZP630WW,CA-5060301690732,NZXT PHANTOM 630 CSNZP630WW,1,165,165,55
CSNZH230W,CA-815671011626,NZXT H230 WHITE CSNZH230W,0,0,0,170.94
CC600TM,CA-843591011297,CORSAIR CC600TM BLK MID TOWER,0,0,0,55
CC500R-WHITE,CA-843591015004,CORSAIR CC500R-WHITE CASE,0,0,0,170.94
CC300R,CA-843591016582,CORSAIR CC300R CARBIDE BK CASE,0,0,0,599
CC250D,CA-843591046398,CORSAIR CC250D MINI ITX CASE,0,0,0,170.94
EMP,CA-895562002186,NZXT TEMPEST EVO,0,0,0,145
MF-3PC13-03,CAB-3PC13-03,ALOGIC 3M 3PIN MF-3PC13-03 PWR,8,33.92,4.24,19
2L-5206P,CAB-4710423771475,ATEN 2L-5206P KVM CABLE,0,0,0,39
SST-CP07,CAB-4710713967991,SST-CP07 BLK 180  SATA CABLE,0,0,0,12
SST-PP06B-PCIE55,CAB-4710713969414,SST-PP06B-PCIE55 BLK 550MM 6+2,0,0,0,19
SST-PP07-MBB,CAB-4710713969780,SST-PP07-MBB 24-24PIN 30CM EXT,0,0,0,12
BFA-MSC-3F60WK-RP,CAB-4716779440768,BFA-MSC-3F60WK-RP FAN EXT 60CM,0,0,0,12
BFA-MSC-24ATX45BK-RP,CAB-4716779441697,BFA-MSC-24ATX45BK-RP 24P 45CM,1,7.1,7.1,10
BFA-MSC-8PEG45KK-RP,CAB-4716779442182,BFA-MSC-8PEG45KK-RP 8PIN 45CM,0,0,0,12
BFA-MSC-SATA330RK-RP,CAB-4716779442526,BFA-MSC-SATA330RK-RP 30CM RED,0,0,0,5
USB2-02-MCAB,CAB-6905707021577,ALOGIC 2M USB2-02-MCAB AM-MBM,3,4.77,1.59,10
TL-ANT24EC5S,CAB-6935364052058,TP-LINK TL-ANT24EC5S 5M EXT.,0,0,0,19
HDMI-05-MM-V4B,CAB-6951586922092,ALOGIC HDMI-05-MM-V4B 5M CABLE,0,0,0,12
UD29A,CAB-9319861441145,ALOGIC USB2 TO DB9 65MM UD29A,5,59.05,11.81,12
DP-DVI-01-MM,CAB-9319866004208,ALOGIC DP-DVI-01-MM 1M CABLE,0,0,0,19
HDMI-03-MM-V4,CAB-9319866015358,ALOGIC HDMI-03-MM-V4  3M CABLE,8,39.68,4.96,12
USB3-03-AA,CAB-9319866016973,ALOGIC 3M USB3-03-AA EXT. M-F,3,9.51,3.17,12
DP-HDMI-05-MM,CAB-9319866019004,ALOGIC DP-HDMI-05-MM M-M CABLE,0,0,0,12
MDP-HDMI-02-MM,CAB-9319866025470,LOGIC 2M MDP-HDMI-02-MM CABLE,3,36.6,12.2,19
HDMI-10-MM-V4,CAB-9319866027467,ALOGIC 10M  HDMI-10-MM-V4CL,17,243.86,14.34,19
USB2-02-AA,CAB-9319866027474,ALOGIC 2M USB2-02-AA EXT.,8,12.66,1.58,5
DVI-I-VGA-02-MM,CAB-9319866027634,ALOGIC 2M DVI-I-VGA-02-MM,10,75,7.5,19
VGA-MM-15,CAB-9319866035677,ALOGIC 15M VGA-MM-15 CABLE,1,18.4,18.4,19
MDP-DP-02-MM,CAB-9319866038685,ALOGIC MDP-DP-02-MM,0,0,0,12
VGA-MF-03,CAB-9319866046413,ALOGIC VGA-MF-03 3M VGA/SVGA,1,6.04,6.04,10
VGA-MF-02,CAB-9319866046468,ALOGIC VGA-MF-02 2M VGA/SVGA E,0,0,0,19
VGA-MF-05,CAB-9319866046499,ALOGIC VGA-MF-05 5M VGA/SVGA,1,7.52,7.52,12
VGA-MF-10,CAB-9319866046871,ALOGIC 10M HD15 VGA-MF-10 EXT.,0,0,0,19
DVI-DL-15-MM,CAB-9319866049230,ALOGIC 15M DVI-DL-15-MM DUAL,0,0,0,19
30P-USB-01,CAB-9319866051516,ALOGIC 1M 30P-USB-01 CHARGE,0,0,0,12
DP-DVI-02-MM,CAB-9319866056436,ALOGIC DP-DVI-02-MM 2M DVI-D,3,38.16,12.72,12
HDMI-0.5-MM-V4,CAB-9319866058287,ALOGIC HDMI-0.5-MM-V4 0.5M PRO,0,0,0,19
DP-05-MM,CAB-9319866061614,ALOGIC 5M DP-05-MM VER1.2 CABL,4,49.92,12.48,12
HDMI-15-MM-V4,CAB-9319866067982,ALOGIC 15M HDMI-15-MM-V4 CABLE,2,36.4,18.2,12
USB3-01-AA,CAB-9319866078186,ALOGIC 1M USB3-01-AA EXT.M-F,3,6.87,2.29,12
USB3-02-AA,CAB-9319866078223,USB3-02-AA 2M USB3.0 AM-AF EXT,3,8.1,2.7,19
USB3-01-MCAB,CAB-9319866078322,ALOGIC 1M USB3-01-MCAB AM-MBM,1,4.64,4.64,19
DVI-HDMI-03-MM,CAB-9319866079121,ALOGIC 3M DVI-HDMI-03-MM CABLE,0,0,0,5
USB2-01-MCAB,CAB-9319866079190,ALOGIC 1M USB2-01-MCAB AM-MBM,0,0,0,12
DVI-HDMI-01-MM,CAB-9319866079381,ALOGIC 1M DVI-HDMI-01-MM CABLE,9,44.27,4.92,19
DVI-HDMI-02-MM,CAB-9319866079398,ALOGIC 2M DVI-HDMI-02-MM CABLE,9,51.9,5.77,19
HDMI-02-MM-V4,CAB-9319866079688,ALOGIC 2M HDMI-02-MM-V4 V2.0,6,23.76,3.96,12
HDMI-01-MM-V4,CAB-9319866079756,ALOGIC HDMI-01-MM-V4 1M MM V2.,29,93.96,3.24,12
DVI-DL-02B-MM,CAB-9319866086488,ALOGIC DVI-DL-02B-MM 2M DVI,8,61.6,7.7,19
C6A-1.5-Blue-SH,CAB-9319866088833,ALOGIC 1.5M C6A-1.5-BLUE-SH CA,0,0,0,19
MF-3PC19-02,CAB-9319866091918,ALOGIC 2M MF-3PC19-02 AUS 3PIN,0,0,0,12
USB3-02-MCAB,CAB-9319866093172,ALOGIC 2M USB3-02-MCAB AM-MBM,3,15.48,5.16,5
USB2-0.5-AA,CAB-9319866258960,ALOGIC 0.5M USB2-0.5-AA EXT.,0,0,0,12
U28P-01WH,CAB-9319866336651,ALOGIC U28P-01WH 1M CHARGE/SYN,5,53.87,10.77,12
PHD-01-MM-V2,CAB-9319866458742,PHD-01-MM-V2 1M CARBON HDMI,3,14.94,4.98,12
PHD-02-MM-V2,CAB-9319867841024,PHD-02-MM-V2 2M CARBON HDMI,4,24.4,6.1,6
PHD-03-MM-V2,CAB-9319868752633,PHD-03-MM-V2 3M CARBON HDMI,3,21.48,7.16,15
USB28P-01,CAB-9319869669695,ALOGIC USB28P-01 1M CHARGE/SYN,0,0,0,12
VGA-MM-30,CAB-9319898654655,ALOGIC 30M VGA/SVGA VGA-MM-30,0,0,0,19
Tel-202/5M,CAB-9324747000682,TEL-202/5M TEL CORD,9,16.65,1.85,12
TEL-202/10M,CAB-9324747001641,TEL-202/10M TEL EXT CORD,11,26.95,2.45,12
Tel-202/20M,CAB-9324747002464,TEL-202/20M TEL EXT CORD,12,42.6,3.55,19
HDMI-20-MM,CAB-HDMI-20M-MM,ALOGIC 20M HDMI-20-MM CABLE,2,128,64,19
C6-01-Red,CAB-NET-1M-RD-ALOGIC,ALOGIC 1M RED CAT6 C6-01-RED-C,41,47.43,1.16,19
MF-3PC19-01,CAB-PS-1M,ALOGIC 1M MF-3PC19-01 POWER,4,30,7.5,12
960-000976(C930E),CAM-097855096005,LOGI 960-000976(C930E) WEBCAM,0,0,0,199
960-000985(CC3000e),CAM-097855102102,LOGI 960-000985(CC3000E) CONFE,0,0,0,259
I55,CAM-4719851877650,AIPTK I55 PROJECTOR / IPHONE5,0,0,0,19
DCS-930L,CAM-790069342714,D-LINK DCS-930L W/L CAMERA,1,0,0,69
DCS-932L,CAM-790069351679,DLINK DCS-932L W/L NET CANMERA,1,65,65,89
DCS-942L,CAM-790069363351,D-LINK DCS-942L WIRELESS,1,98,98,69
DCS-2132L,CAM-790069381713,DLINK DCS-2132L W/L CAMERA,0,0,0,39
DCS-6010L,CAM-790069381980,DLINK DCS-6010L CLOUD CAM,0,0,0,69
DCS-2136L,CAM-790069400933,DLINK DCS-2136L W/L WEB CAMERA,0,0,0,39
Q2F-00017(LCSTUDIO),CAM-885370428353,MS Q2F-00017(LCSTUDIO) LIFECAM,0,0,0,69
T3H-00014(LCAMHD3K),CAM-885370428438,MS LIFECAM T3H-00014(LCAMHD3K),2,38,19,39
H5D-00016(LCCINEMA),CAM-885370428551,MS H5D-00016(LCCINEMA) L2 LIFE,0,0,0,49
ACCORRVTPS28PK,CPU-4719512024904,CM VORTEX ACCORRVTPS28PK COOL,0,0,0,59
BX80621E52420,CPU-5032037034944,INTEL BX80621E52420 E5-2420,0,0,0,45
BX80637E31240V2,CPU-5032037037198,INTEL BX80637E31240V2 E3-1240V,0,0,0,56
BX80637E31230V2,CPU-5032037037259,INTEL BX80637E31230V2  XEON Q,2,515.58,257.79,139
BX80646E31225V3,CPU-5032037049955,BX80646E31225V3 E3-1225V3/3.2G,1,239,239,69
BX80646E31240V3,CPU-5032037050074,INTEL BX80646E31240V3 E3-1240V,0,0,0,56
BX80646I74770,CPU-5032037050135,INTEL BX80646I74770S I7-4770S,0,0,0,45
BX80646E31220V3,CPU-5032037050258,INTEL BX80646E31220V3 E3-1220V,2,500,250,56
BX80635E52603V2,CPU-5032037054553,INTEL BX80635E52603V2 E5-2603V,0,0,0,69
BX80646I34130T,CPU-5032037055574,INTEL BX80646I34130T I3-4130T,0,0,0,1199
BX80646I34340,CPU-5032037056052,INTEL BX80646I34340 I3-4340 3.,0,0,0,69
BX80646I54570T,CPU-5032037056625,INTEL BX80646I54570T I5-4570T,0,0,0,249
BX80633I74960X,CPU-5032037057653,INTEL BX80633I74960X I7 4960X,0,0,0,69
BX80646I54590,CPU-5032037061131,INTEL BX80646I54590 I5-4590 3,0,0,0,649
BX80646I54590S,CPU-5032037061254,INTEL BX80646I54590S I5-4590S,1,231,231,69
BX80646I54690S,CPU-5032037061315,INTEL BX80646I54690S I5-4690S,0,0,0,239
BX80646I74790,CPU-5032037061551,INTEL BX80646I74790 I7-4790 3.,21,7047.29,335.59,139
BX80646E31231V3,CPU-5032037061797,INTEL BX80646E31231V3 E3-1231V,0,0,0,649
BX80646G1840,CPU-5032037062534,INTEL BX80646G1840 LGA1150,3,129,43,59
BX80646I54460,CPU-5032037062763,INTEL BX80646I54460 I5-4460 3.,59,11931.55,202.23,69
BX80644E52630V3,CPU-5032037065542,INTEL BX80644E52630V3 E5-2630V,0,0,0,45
BX80648I75930K,CPU-5032037065641,INTEL BX80648I75930K I7-5930K,0,0,0,69
BX80648I75820K,CPU-5032037065702,INTEL BX80648I75820K I7-5820K,0,0,0,239
BX80646I74790K,CPU-5032037065948,INTEL BX80646I74790K I7-4790K,8,3003.18,375.4,45
BX80646I54690K,CPU-5032037066013,INTEL BX80646I54690K I5-4690K,4,1044.5,261.13,56
BX80646I34160,CPU-5032037066921,INTEL BX80646I34160 I3-4160 3.,21,2531.3,120.54,56
BX80637I53330,CPU-I5-3330,INTEL BX80637I53330 3.0GHZ,0,0,0,45
CH12NS30,DW-8806084356437,LG BLU-RAY COMBO CH12NS30,0,0,0,89
GP70NS50,DW-8806084465030,LG GP70NS50 8X SLIM PORTABLE,0,0,0,89
GP50NW40,DW-8806084581259,LG GP50NW40 SLIM PORTABLE DVD,96,2348.55,24.46,39
BDR-208EBK,DW-884938200479,PIONEER BDR-208EBK BLUE-RAY RW,0,0,0,159
BDR-XD05T,DW-884938228923,PIONEER BDR-XD05T BLUE-RAY,0,0,0,39
BDR-209EBK,DW-884938241663,PIONEER BDR-209EBK BLU-RAY DVD,0,0,0,89
BDC-TD03RT,DW-BDC-TD03RT,PIONEER BDC-TD03RT SLIM BLU,0,0,0,89
GH24NSB0,DW-LG-GH24NSB0,"LG GH24NSB0 24xDVD+-R, 12xDVD,",0,0,0,99
5JV-00588,E-LIC-5JV-00588,MS 5JV-00588 WINEMBEDD PRO 8.1,0,0,0,1269
EVGA-01G-P3-1313-KR,GC-4250223633134,EVGA-01G-P3-1313-KR GT210 1GB,0,0,0,249
EVGA-02G-P4-2774-KR,GC-4250812400635,EVGA-02G-P4-2774-KR GTX770 2GB,0,0,0,249
EVGA-04G-P4-3778-KR,GC-4250812400703,EVGA-04G-P4-3778-KR GTX770 4GB,0,0,0,249
EVGA-02G-P4-3765-KR,GC-4250812401519,EVGA-02G-P4-3765-KR GTX760 2GB,0,0,0,249
EVGA-03G-P4-2883-KR,GC-4250812402448,EVGA-03G-P4-2883-KR GTX 780TI,0,0,0,249
EVGA-03G-P4-2884-KR,GC-4250812402455,EVGA-03G-P4-2884-KR GTX780TI 3,0,0,0,249
EVGA-02G-P4-3757-KR,GC-4250812402974,EVGA-02G-P4-3757-KR GTX750TI,0,0,0,249
FX1,GC-4710918137250,LEADTEK QUADRO FX1500,0,0,0,439
FX4,GC-4710918137427,LEADTEK FX4800,0,0,0,2235
FX3,GC-4710918137595,LEADTEK QUADRO FX380 512MB,0,0,0,179
HD7750-1GD5-V2,GC-4716659171683,ASUS HD7750-1GD5-V2 1GB,2,156,78,249
HD7770-1GD5,GC-4716659267096,ASUS HD7770-1GD5 HD7770 1GB,1,90,90,249
GTX770-DC2OC-2GD5,GC-4716659514930,"ASUS GTX770-DC2OC-2GD5, 2GB",0,0,0,249
GTX780-DC2OC-3GD5,GC-4716659529750,ASUS GTX780-DC2OC-3GD5 3GB,0,0,0,249
GTX760-DF-2GD5,GC-4716659572114,ASUS GTX760-DF-2GD5,3,660,220,249
R7240-2GD3-L,GC-4716659597704,ASUS R7240-2GD3-L R7 240 2GB,4,198.66,49.67,249
R9270X-DC2T-2GD5,GC-4716659602354,ASUS R9270X-DC2T-2GD5,2,410,205,249
R9270-DC2OC-2GD5,GC-4716659623342,ASUS R9270-DC2OC-2GD5 AMD 2GB,7,1365,195,249
GTX770-DC2OC-4GD5,GC-4716659649007,ASUS GTX770-DC2OC-4GD5,0,0,0,249
R9290-DC2OC-4GD5,GC-4716659667278,ASUS R9290-DC2OC-4GD5 4GB 300W,0,0,0,249
GTX750TI-PH-2GD5,GC-4716659682271,ASUS GTX750TI-PH-2GD5 2GB,0,0,0,249
R7250X-1GD5,GC-4716659689669,ASUS AMD R7250X-1GD5 1GB DDR5,0,0,0,249
R9280-DC2T-3GD5,GC-4716659710622,ASUS R9280-DC2T-3GD5,0,0,0,249
STRIKER-GTX760-P-4GD5,GC-4716659720409,ASUS STRIKER-GTX760-P-4GD5 4GB,0,0,0,249
R5230-SL-1GD3-L,GC-4716659743446,ASUS R5230-SL-1GD3-L 1GB,4,144,36,249
GTX750-PHOC-2GD5,GC-4716659761457,ASUS GTX750-PHOC-2GD5 2GB 75W,6,790.14,131.69,249
GT740-2GD3,GC-4716659777960,ASUS GT740-2GD3 GT740 2GB,1,90,90,249
STRIX-GTX970-DC2OC-4GD5,GC-4716659895060,ASUS STRIX-GTX970-DC2OC-4GD5,0,0,0,249
E2260SWDN,GC-4717385941205,"AOC E2260SWDN 21.5"" DVI/VGA",0,0,0,0
R5450-MD1GD3HLP,GC-4719072241193,"MSI R5450-MD1GD3HLP 1GB, D3",81,2268,28,249
N610GT-MD1GD3LP,GC-4719072266646,MSI N610GT-MD1GD3LP GT610 1GB,34,1326,39,249
N770-TF-2GD5OC,GC-4719072297572,MSI N770-TF-2GD5OC GTX770 2GB,0,0,0,249
N780-TF-3GD5OC,GC-4719072300555,MSI N780-TF-3GD5OC GTX780 3GB,0,0,0,249
N760-TF-2GD5OC,GC-4719072301576,MSI N760-TF-2GD5OC GTX760 2GB,1,310,310,249
N760-TF-4GD5OC,GC-4719072305765,MSI N760-TF-4GD5OC GTX760 4GB,0,0,0,249
R7240-2GD3-LP,GC-4719072313784,MSI R7240-2GD3-LP AMD RADEON,0,0,0,249
R9270X-HAWK,GC-4719072313869,"MSI R9270X-HAWK 2GB,DDR5",0,0,0,249
R9280X-GAMING-3G-BF4,GC-4719072314026,"MSI R9280X-GAMING-3G-BF4, D5,",0,0,0,249
R7260X-2GD5OC,GC-4719072314033,MSI R7260X-2GD5OC R7 260X 2GB,0,0,0,249
R9270X-GAMING-2G-BF4,GC-4719072322984,MSI R9270X-GAMING-2G-BF4 AMD,0,0,0,249
R9270-GAMING-2G,GC-4719072322991,MSI R9270-GAMING-2G-BF4 AMD,0,0,0,249
R9290X-GAMING-4G,GC-4719072323554,MSI R9290X-GAMING-4G R9 290 4G,0,0,0,249
R9290-GAMING-4G,GC-4719072323578,MSI R9290-GAMING-4G DDR5,0,0,0,249
N750TI-TF-2GD5OC,GC-4719072328184,MSI N750TI-TF-2GD5OC,1,160,160,249
GTX970-GAMING-4G-G,GC-4719072365752,MSI GTX970-GAMING-4G-G GDDR5,0,0,0,249
N75TOC-2GI,GC-4719331302221,GIGA N75TOC-2GI GTX750TI 2GB,0,0,0,249
R724OC-2GI,GC-4719331304188,GIGA R724OC-2GI AMD R7 240 2GB,0,0,0,249
N210D3-1GI,GC-4719331307134,GIGABYTE GV-N210D3-1GI 1GB,0,0,0,39
N750OC-2GI,GC-4719331310301,GIGA N750OC-2GI GTX750 2GB,3,390,130,249
R523D3-1GL,GC-4719331313159,GIGA GV-R523D3-1GL R5 230 1GB,0,0,0,249
N610SL-2GL,GC-4719331314255,GIGA N610SL-2GL GT610 2GB DDR3,0,0,0,249
N610SL-1GI,GC-4719331316259,GIGABYTE GV-N610SL-1GI DVI/VGA,0,0,0,389
N770OC-2GD,GC-4719331319113,GIGA N770OC-2GD GTX770 2GB D5,0,0,0,249
N730-2GI,GC-4719331321291,GIGA N730-2GI GT730 OC 2GB,0,0,0,249
N760OC-2GD,GC-4719331322120,GIGA N760OC-2GD GTX760 2GB,0,0,0,249
N780OC-3GD,GC-4719331324179,GIGA GV-N780OC-3GD GTX780 3GB,0,0,0,249
N760OC-4GD,GC-4719331327194,GIGA N760OC-4GD GTX760 4GB,0,0,0,249
N610D3-2GI,GC-4719331328146,GIGABYTE N610D3-2GI GT610,0,0,0,249
N770OC-4GD,GC-4719331328207,GIGA GV-N770OC-4GD GTX770 4GB,0,0,0,249
N210SL-1GI,GC-4719331331153,GIGA GV-N210SL-1GI 1GB,41,1312,32,199
N730SL-2GL,GC-4719331331238,GIGA GV-N730SL-2GL GT730 2GB,0,0,0,249
N970G1-GAMING-4GD,GC-4719331336158,GIGA N970G1-GAMING-4GD GTX970,0,0,0,249
R928XOC-3GD,GC-4719331338336,GIGA R928XOC-3GD R9 280X 3GB,0,0,0,249
R726XOC-2GD,GC-4719331339098,GIGA GV-R726XOC-2GD R7 260X 2G,0,0,0,249
N660WF2-2GD,GC-4719331344085,"GIGA N660WF2-2GD, GTX660 2G D5",0,0,0,249
EAH5450SLIDI1GD3LP,GC-4719543367438,ASUS EAH5450SLIDI1GD3LP HD5450,148,3998.12,27.01,169
280XQMT3G2M,GC-4895139008777,"HIS R9 280X 3GB,H280XQMT3G2M",0,0,0,1049
11LK600LP,GC-LT-K600,LEADTEK QUADRO K600 11LK600LP,0,0,0,249
